sample,total_reads,observed,shannon,simpson,pielou_evenness,dataset,source_columns,databases_detected,nombre,fertilizer,tratamiento,estudio,fungicide,pesticide,herbicide,plant,ph,org_matter,temp,plant_growth_med,plant_water_method,experiment
luciana_01,299603.0,65100,9.576971557549621,0.9994124215156966,0.8640606464638212,suelos1,luciana_01_EuPathDB;luciana_01_GTDB;luciana_01_PlusPFP,GTDB;PlusPFP;EuPathDB,BIB1_S8,phosphonitrate_compost,Integrado,1,Manzate_Clorotalonil,Beauveria_Dipel_Trichoderma_Decis_Bt,Weeding,brocoli,,,,soil,drip,1.0
luciana_02,783435.0,94626,9.7387372388791,0.9993652594691893,0.8499740623029169,suelos1,luciana_02_EuPathDB;luciana_02_GTDB;luciana_02_PlusPFP,GTDB;PlusPFP;EuPathDB,JAB1_S5,Compost,Agroecológico,1,sulfocalcium_Fungifree_bordocop,Beauveria_Dipel_Trichoderma_Bt,Weeding,tomato,,,,soil,drip,1.0
luciana_03,537074.0,83008,9.656433364972928,0.9992516732107741,0.8525378051039898,suelos1,luciana_03_EuPathDB;luciana_03_GTDB;luciana_03_PlusPFP,GTDB;PlusPFP;EuPathDB,JAB3_S6,Compost,Agroecológico,1,sulfocalcium_Fungifree_bordocop,Beauveria_Dipel_Trichoderma_Bt,Weeding,tomato,,,,soil,drip,1.0
luciana_04,311784.0,67675,9.64551319009178,0.9994431842139206,0.8672094738302304,suelos1,luciana_04_EuPathDB;luciana_04_GTDB;luciana_04_PlusPFP,GTDB;PlusPFP;EuPathDB,JAB4_S7,Compost,Agroecológico,1,sulfocalcium_Fungifree_bordocop,Beauveria_Dipel_Trichoderma_Bt,Weeding,tomato,,,,soil,drip,1.0
luciana_05,1074170.0,38210,6.378527303714552,0.9799890420188483,0.6045508909603221,suelos1,luciana_05_EuPathDB;luciana_05_GTDB;luciana_05_PlusPFP,GTDB;PlusPFP;EuPathDB,JCB1_S1,phosphonitrate,Convencional ,1,Manzate_Clorotalonil,Imidacloprid,Weeding,tomato,,,,soil,drip,1.0
luciana_06,913811.0,22347,6.335894178019962,0.9812649734023441,0.6326753687405062,suelos1,luciana_06_EuPathDB;luciana_06_GTDB;luciana_06_PlusPFP,GTDB;PlusPFP;EuPathDB,JCB2_S2,phosphonitrate,Convencional ,1,Manzate_Clorotalonil,Imidacloprid,Weeding,tomato,,,,soil,drip,1.0
luciana_07,982637.0,53528,6.839957679832497,0.983897063109621,0.6282129599142336,suelos1,luciana_07_EuPathDB;luciana_07_GTDB;luciana_07_PlusPFP,GTDB;PlusPFP;EuPathDB,JCB3_S3,phosphonitrate,Convencional ,1,Manzate_Clorotalonil,Imidacloprid,Weeding,tomato,,,,soil,drip,1.0
luciana_08,1054475.0,52501,7.622364184494902,0.9920442742585358,0.7013205890174791,suelos1,luciana_08_EuPathDB;luciana_08_GTDB;luciana_08_PlusPFP,GTDB;PlusPFP;EuPathDB,JCB4_S4,phosphonitrate,Convencional ,1,Manzate_Clorotalonil,Imidacloprid,Weeding,tomato,,,,soil,drip,1.0
luciana_09,455756.0,24317,7.378743937730682,0.9921202098202431,0.7306460413786476,suelos1,luciana_09_EuPathDB;luciana_09_GTDB;luciana_09_PlusPFP,GTDB;PlusPFP;EuPathDB,BAB1_S5,Compost,Agroecológico,1,sulfocalcium_Fungifree_bordocop,Beauveria_Dipel_Trichoderma_Bt,Weeding,brocoli,,,,soil,drip,1.0
luciana_10,348954.0,27596,7.230077907665918,0.9899682427859096,0.7070686177080795,suelos1,luciana_10_EuPathDB;luciana_10_GTDB;luciana_10_PlusPFP,GTDB;PlusPFP;EuPathDB,BAB2_S6,Compost,Agroecológico,1,sulfocalcium_Fungifree_bordocop,Beauveria_Dipel_Trichoderma_Bt,Weeding,brocoli,,,,soil,drip,1.0
luciana_11,574529.0,42909,7.384091054488559,0.9906834658815394,0.6922474902652808,suelos1,luciana_11_EuPathDB;luciana_11_GTDB;luciana_11_PlusPFP,GTDB;PlusPFP;EuPathDB,BAB3_S7,Compost,Agroecológico,1,sulfocalcium_Fungifree_bordocop,Beauveria_Dipel_Trichoderma_Bt,Weeding,brocoli,,,,soil,drip,1.0
luciana_12,768803.0,87110,9.703662932857466,0.9994254001119078,0.8530747459890081,suelos1,luciana_12_EuPathDB;luciana_12_GTDB;luciana_12_PlusPFP,GTDB;PlusPFP;EuPathDB,BAB4_S8,Compost,Agroecológico,1,sulfocalcium_Fungifree_bordocop,Beauveria_Dipel_Trichoderma_Bt,Weeding,brocoli,,,,soil,drip,1.0
luciana_13,377066.0,71907,9.794410183875014,0.9995727216046218,0.875820199749128,suelos1,luciana_13_EuPathDB;luciana_13_GTDB;luciana_13_PlusPFP,GTDB;PlusPFP;EuPathDB,BIB2_S4,phosphonitrate_compost,Integrado,1,Manzate_Clorotalonil,Beauveria_Dipel_Trichoderma_Decis_Bt,Weeding,brocoli,,,,soil,drip,1.0
luciana_14,901473.0,79157,8.020991390195366,0.9899670335691518,0.7111319568277785,suelos1,luciana_14_EuPathDB;luciana_14_GTDB;luciana_14_PlusPFP,GTDB;PlusPFP;EuPathDB,CeAB1_S9,Compost,Agroecológico,1,sulfocalcium_Fungifree_bordocop,Beauveria_Dipel_Trichoderma_Bt,Weeding,cempazuchitl,,,,soil,drip,1.0
luciana_15,886683.0,74043,6.915771407356317,0.9669738452066718,0.6167966372121811,suelos1,luciana_15_EuPathDB;luciana_15_GTDB;luciana_15_PlusPFP,GTDB;PlusPFP;EuPathDB,CeAB2_S10,Compost,Agroecológico,1,sulfocalcium_Fungifree_bordocop,Beauveria_Dipel_Trichoderma_Bt,Weeding,cempazuchitl,,,,soil,drip,1.0
luciana_16,388844.0,56393,5.895647237513665,0.8746429354582657,0.5389024841687332,suelos1,luciana_16_EuPathDB;luciana_16_GTDB;luciana_16_PlusPFP,GTDB;PlusPFP;EuPathDB,CeAB3_S11,Compost,Agroecológico,1,sulfocalcium_Fungifree_bordocop,Beauveria_Dipel_Trichoderma_Bt,Weeding,cempazuchitl,,,,soil,drip,1.0
luciana_17,85224.0,9775,8.360630924905424,0.9991872047096847,0.9099923858855598,suelos1,luciana_17_EuPathDB;luciana_17_GTDB;luciana_17_PlusPFP,GTDB;PlusPFP;EuPathDB,JAB2_S5,Compost,Agroecológico,1,sulfocalcium_Fungifree_bordocop,Beauveria_Dipel_Trichoderma_Bt,Weeding,tomato,,,,soil,drip,1.0
luciana_18,71119.0,6413,7.990507700314337,0.9988542313872738,0.9115255004217893,suelos1,luciana_18_EuPathDB;luciana_18_GTDB;luciana_18_PlusPFP,GTDB;PlusPFP;EuPathDB,JIB1,phosphonitrate_compost,Integrado,1,Manzate_Clorotalonil,Beauveria_Dipel_Trichoderma_Decis_Bt,Weeding,tomato,,,,soil,drip,1.0
luciana_19,80157.0,6172,7.898759336256099,0.998517531429976,0.905013755282387,suelos1,luciana_19_EuPathDB;luciana_19_GTDB;luciana_19_PlusPFP,GTDB;PlusPFP;EuPathDB,JIB2,phosphonitrate_compost,Integrado,1,Manzate_Clorotalonil,Beauveria_Dipel_Trichoderma_Decis_Bt,Weeding,tomato,,,,soil,drip,1.0
luciana_27,476070.0,34900,9.11694651701333,0.9995845601164708,0.8715808317548053,suelos1,luciana_27_EuPathDB;luciana_27_GTDB;luciana_27_PlusPFP,GTDB;PlusPFP;EuPathDB,BIB3,phosphonitrate_compost,Integrado,1,Manzate_Clorotalonil,Beauveria_Dipel_Trichoderma_Decis_Bt,Weeding,brocoli,,,,soil,drip,1.0
luciana_28,215307.0,22608,8.60437401657121,0.9989224280116444,0.8582010066492789,suelos1,luciana_28_EuPathDB;luciana_28_GTDB;luciana_28_PlusPFP,GTDB;PlusPFP;EuPathDB,BIB4,phosphonitrate_compost,Integrado,1,Manzate_Clorotalonil,Beauveria_Dipel_Trichoderma_Decis_Bt,Weeding,brocoli,,,,soil,drip,1.0
luciana_32,223473.0,16135,7.730855053881661,0.996362200202117,0.7979211107928751,suelos1,luciana_32_EuPathDB;luciana_32_GTDB;luciana_32_PlusPFP,GTDB;PlusPFP;EuPathDB,CeAB4,Compost,Agroecológico,1,sulfocalcium_Fungifree_bordocop,Beauveria_Dipel_Trichoderma_Bt,Weeding,cempazuchitl,,,,soil,drip,1.0
luciana_34,307841.0,31819,9.06912335053973,0.9994420183647438,0.8747378267514428,suelos1,luciana_34_EuPathDB;luciana_34_GTDB;luciana_34_PlusPFP,GTDB;PlusPFP;EuPathDB,JIB3,phosphonitrate_compost,Integrado,1,Manzate_Clorotalonil,Beauveria_Dipel_Trichoderma_Decis_Bt,Weeding,tomato,,,,soil,drip,1.0
luciana_35,332320.0,26268,8.639950612893479,0.9989118393978842,0.8490428439321032,suelos1,luciana_35_EuPathDB;luciana_35_GTDB;luciana_35_PlusPFP,GTDB;PlusPFP;EuPathDB,JIB4,phosphonitrate_compost,Integrado,1,Manzate_Clorotalonil,Beauveria_Dipel_Trichoderma_Decis_Bt,Weeding,tomato,,,,soil,drip,1.0
luciana_20,650513.0,40072,9.21170020887636,0.9992707254488062,0.8691567997732095,suelos2,luciana_20_EuPathDB;luciana_20_GTDB;luciana_20_PlusPFP,GTDB;PlusPFP;EuPathDB,Cpst1,otherComposta,otherComposta,2,,,,tomato,7.95,4.221,,soil,drip,
luciana_21,757276.0,38464,9.042075253665693,0.9991327460100012,0.856461669949908,suelos2,luciana_21_EuPathDB;luciana_21_GTDB;luciana_21_PlusPFP,GTDB;PlusPFP;EuPathDB,Cpst2,otherComposta,otherComposta,2,,,,tomato,7.55,4.457,,soil,drip,
luciana_22,519325.0,29973,8.645440504252866,0.9985304986708895,0.838707477421149,suelos2,luciana_22_EuPathDB;luciana_22_GTDB;luciana_22_PlusPFP,GTDB;PlusPFP;EuPathDB,Quí2,otherQuimico,otherQuimico,2,,,,tomato,7.87,2.211,,soil,drip,
luciana_23,466646.0,17071,7.973144426982299,0.9984751226505887,0.818166529710497,suelos2,luciana_23_EuPathDB;luciana_23_GTDB;luciana_23_PlusPFP,GTDB;PlusPFP;EuPathDB,Quí3,otherQuimico,otherQuimico,2,,,,tomato,8.08,2.11,,soil,drip,
luciana_29,261791.0,30042,9.085539924780226,0.9993301847615603,0.8812056276442461,suelos2,luciana_29_EuPathDB;luciana_29_GTDB;luciana_29_PlusPFP,GTDB;PlusPFP;EuPathDB,Bk1,otherBokashi,otherBokashi,2,,,,tomato,7.46,4.154,,soil,drip,
luciana_30,255864.0,37258,9.376510383045742,0.9994435320177291,0.8908272037004369,suelos2,luciana_30_EuPathDB;luciana_30_GTDB;luciana_30_PlusPFP,GTDB;PlusPFP;EuPathDB,Bk2,otherBokashi,otherBokashi,2,,,,tomato,7.64,4.221,,soil,drip,
luciana_31,440104.0,37413,9.178219297592072,0.999333538314989,0.8716445119291963,suelos2,luciana_31_EuPathDB;luciana_31_GTDB;luciana_31_PlusPFP,GTDB;PlusPFP;EuPathDB,Bk3,otherBokashi,otherBokashi,2,,,,tomato,7.74,3.752,,soil,drip,
luciana_33,201992.0,31918,9.282922312696241,0.9993516570580606,0.89509103199204,suelos2,luciana_33_EuPathDB;luciana_33_GTDB;luciana_33_PlusPFP,GTDB;PlusPFP;EuPathDB,Cpst3,otherComposta,otherComposta,2,,,,tomato,7.83,4.656,,soil,drip,
luciana_36,223249.0,20482,8.516933387088095,0.9986660081810671,0.8579303438320073,suelos2,luciana_36_EuPathDB;luciana_36_GTDB;luciana_36_PlusPFP,GTDB;PlusPFP;EuPathDB,Quí1,otherQuimico,otherQuimico,2,,,,tomato,7.44,2.04,,soil,drip,
luciana_37,347029.0,13910,6.578502742311402,0.9852192336381369,0.6895442600924288,suelos2,luciana_37_EuPathDB;luciana_37_GTDB;luciana_37_PlusPFP,GTDB;PlusPFP;EuPathDB,Te2,otherTestigo,otherTestigo,2,,,,,8.1,3.283,,soil,drip,
luciana_26,313848.0,7062,5.196442320707801,0.9743842411654751,0.5863415458950659,suelos3,luciana_26_EuPathDB;luciana_26_GTDB;luciana_26_PlusPFP,GTDB;PlusPFP;EuPathDB,BF1,other,other,3,,,,tomato,,,22.5,water,,2.0
luciana_38,814628.0,33246,5.058375943118176,0.9365930266945344,0.4858362158651395,suelos3,luciana_38_EuPathDB;luciana_38_GTDB;luciana_38_PlusPFP,GTDB;PlusPFP;EuPathDB,TK3,other,other,3,,,,,,,22.5,water,,2.0
