sample_full,sample,database,dataset
luciana_01_EuPathDB,luciana_01,EuPathDB,suelos1
luciana_01_GTDB,luciana_01,GTDB,suelos1
luciana_01_PlusPFP,luciana_01,PlusPFP,suelos1
luciana_02_EuPathDB,luciana_02,EuPathDB,suelos1
luciana_02_GTDB,luciana_02,GTDB,suelos1
luciana_02_PlusPFP,luciana_02,PlusPFP,suelos1
luciana_03_EuPathDB,luciana_03,EuPathDB,suelos1
luciana_03_GTDB,luciana_03,GTDB,suelos1
luciana_03_PlusPFP,luciana_03,PlusPFP,suelos1
luciana_04_EuPathDB,luciana_04,EuPathDB,suelos1
luciana_04_GTDB,luciana_04,GTDB,suelos1
luciana_04_PlusPFP,luciana_04,PlusPFP,suelos1
luciana_05_EuPathDB,luciana_05,EuPathDB,suelos1
luciana_05_GTDB,luciana_05,GTDB,suelos1
luciana_05_PlusPFP,luciana_05,PlusPFP,suelos1
luciana_06_EuPathDB,luciana_06,EuPathDB,suelos1
luciana_06_GTDB,luciana_06,GTDB,suelos1
luciana_06_PlusPFP,luciana_06,PlusPFP,suelos1
luciana_07_EuPathDB,luciana_07,EuPathDB,suelos1
luciana_07_GTDB,luciana_07,GTDB,suelos1
luciana_07_PlusPFP,luciana_07,PlusPFP,suelos1
luciana_08_EuPathDB,luciana_08,EuPathDB,suelos1
luciana_08_GTDB,luciana_08,GTDB,suelos1
luciana_08_PlusPFP,luciana_08,PlusPFP,suelos1
luciana_09_EuPathDB,luciana_09,EuPathDB,suelos1
luciana_09_GTDB,luciana_09,GTDB,suelos1
luciana_09_PlusPFP,luciana_09,PlusPFP,suelos1
luciana_10_EuPathDB,luciana_10,EuPathDB,suelos1
luciana_10_GTDB,luciana_10,GTDB,suelos1
luciana_10_PlusPFP,luciana_10,PlusPFP,suelos1
luciana_11_EuPathDB,luciana_11,EuPathDB,suelos1
luciana_11_GTDB,luciana_11,GTDB,suelos1
luciana_11_PlusPFP,luciana_11,PlusPFP,suelos1
luciana_12_EuPathDB,luciana_12,EuPathDB,suelos1
luciana_12_GTDB,luciana_12,GTDB,suelos1
luciana_12_PlusPFP,luciana_12,PlusPFP,suelos1
luciana_13_EuPathDB,luciana_13,EuPathDB,suelos1
luciana_13_GTDB,luciana_13,GTDB,suelos1
luciana_13_PlusPFP,luciana_13,PlusPFP,suelos1
luciana_14_EuPathDB,luciana_14,EuPathDB,suelos1
luciana_14_GTDB,luciana_14,GTDB,suelos1
luciana_14_PlusPFP,luciana_14,PlusPFP,suelos1
luciana_15_EuPathDB,luciana_15,EuPathDB,suelos1
luciana_15_GTDB,luciana_15,GTDB,suelos1
luciana_15_PlusPFP,luciana_15,PlusPFP,suelos1
luciana_16_EuPathDB,luciana_16,EuPathDB,suelos1
luciana_16_GTDB,luciana_16,GTDB,suelos1
luciana_16_PlusPFP,luciana_16,PlusPFP,suelos1
luciana_17_EuPathDB,luciana_17,EuPathDB,suelos1
luciana_17_GTDB,luciana_17,GTDB,suelos1
luciana_17_PlusPFP,luciana_17,PlusPFP,suelos1
luciana_18_EuPathDB,luciana_18,EuPathDB,suelos1
luciana_18_GTDB,luciana_18,GTDB,suelos1
luciana_18_PlusPFP,luciana_18,PlusPFP,suelos1
luciana_19_EuPathDB,luciana_19,EuPathDB,suelos1
luciana_19_GTDB,luciana_19,GTDB,suelos1
luciana_19_PlusPFP,luciana_19,PlusPFP,suelos1
luciana_27_EuPathDB,luciana_27,EuPathDB,suelos1
luciana_27_GTDB,luciana_27,GTDB,suelos1
luciana_27_PlusPFP,luciana_27,PlusPFP,suelos1
luciana_28_EuPathDB,luciana_28,EuPathDB,suelos1
luciana_28_GTDB,luciana_28,GTDB,suelos1
luciana_28_PlusPFP,luciana_28,PlusPFP,suelos1
luciana_32_EuPathDB,luciana_32,EuPathDB,suelos1
luciana_32_GTDB,luciana_32,GTDB,suelos1
luciana_32_PlusPFP,luciana_32,PlusPFP,suelos1
luciana_34_EuPathDB,luciana_34,EuPathDB,suelos1
luciana_34_GTDB,luciana_34,GTDB,suelos1
luciana_34_PlusPFP,luciana_34,PlusPFP,suelos1
luciana_35_EuPathDB,luciana_35,EuPathDB,suelos1
luciana_35_GTDB,luciana_35,GTDB,suelos1
luciana_35_PlusPFP,luciana_35,PlusPFP,suelos1
luciana_20_EuPathDB,luciana_20,EuPathDB,suelos2
luciana_20_GTDB,luciana_20,GTDB,suelos2
luciana_20_PlusPFP,luciana_20,PlusPFP,suelos2
luciana_21_EuPathDB,luciana_21,EuPathDB,suelos2
luciana_21_GTDB,luciana_21,GTDB,suelos2
luciana_21_PlusPFP,luciana_21,PlusPFP,suelos2
luciana_22_EuPathDB,luciana_22,EuPathDB,suelos2
luciana_22_GTDB,luciana_22,GTDB,suelos2
luciana_22_PlusPFP,luciana_22,PlusPFP,suelos2
luciana_23_EuPathDB,luciana_23,EuPathDB,suelos2
luciana_23_GTDB,luciana_23,GTDB,suelos2
luciana_23_PlusPFP,luciana_23,PlusPFP,suelos2
luciana_29_EuPathDB,luciana_29,EuPathDB,suelos2
luciana_29_GTDB,luciana_29,GTDB,suelos2
luciana_29_PlusPFP,luciana_29,PlusPFP,suelos2
luciana_30_EuPathDB,luciana_30,EuPathDB,suelos2
luciana_30_GTDB,luciana_30,GTDB,suelos2
luciana_30_PlusPFP,luciana_30,PlusPFP,suelos2
luciana_31_EuPathDB,luciana_31,EuPathDB,suelos2
luciana_31_GTDB,luciana_31,GTDB,suelos2
luciana_31_PlusPFP,luciana_31,PlusPFP,suelos2
luciana_33_EuPathDB,luciana_33,EuPathDB,suelos2
luciana_33_GTDB,luciana_33,GTDB,suelos2
luciana_33_PlusPFP,luciana_33,PlusPFP,suelos2
luciana_36_EuPathDB,luciana_36,EuPathDB,suelos2
luciana_36_GTDB,luciana_36,GTDB,suelos2
luciana_36_PlusPFP,luciana_36,PlusPFP,suelos2
luciana_37_EuPathDB,luciana_37,EuPathDB,suelos2
luciana_37_GTDB,luciana_37,GTDB,suelos2
luciana_37_PlusPFP,luciana_37,PlusPFP,suelos2
luciana_26_EuPathDB,luciana_26,EuPathDB,suelos3
luciana_26_GTDB,luciana_26,GTDB,suelos3
luciana_26_PlusPFP,luciana_26,PlusPFP,suelos3
luciana_38_EuPathDB,luciana_38,EuPathDB,suelos3
luciana_38_GTDB,luciana_38,GTDB,suelos3
luciana_38_PlusPFP,luciana_38,PlusPFP,suelos3
